Artist,Title,Color,Year,Notes,Discogs Link,Size
97a,Better Off Dead,Black,1996,,,7
AFI,Fly in the Ointment,Yellow,1995,,,7
AFI,Split with Heckle,Black,1995,,,7
AFI,Split with Swingin' Utters,Black,1995,1st Press,,7
AFI,All Hallows EP,Orange,1999,,,7
AFI,Girls Not Grey,Grey,2003,,,7
AFI,Girls Not Grey,Red,2003,,,7
AFI,Leaving Song pt. 2,Green,2003,,,7
AFI,Decemberunderground,Clear,2006,Box Set,,7
After the Fall,Split with Transitions,Black,2008,,,7
Against All Authority,Above the Law,Black,1994,,,7
Against All Authority,Live at the Fireside Bowl,Black,1996,,,7
Against All Authority,Split with Anti-Flag,Red,1996,,,7
Against All Authority,Split with The Pist,Black,1996,,,7
Against Me,Crime,Black,2001,,,7
Against Me,The Acoustic EP,Black,2001,,,7
Against Me,Disco Before the Breakdown,Orange,2002,,,7
Against Me,Cavalier Eternel,Gold,2003,1st press,,7
Against Me,Sink Florida Sink,Gray,2003,,,7
Against Me,New Wave,Black,2007,,,7
Against Me,Stop,Black,2007,,,7
Against Me,Thrash Unreal,Black,2007,,,7
Against Me,White People for Peace,Black,2007,,,7
Against Me,"Russian Spies, Occult Enemies",Black,2011,,,7
Against Me,True Trans Soul Rebel,Black,2013,,,7
Agnostic Front,United Blood EP,Red,1983,2009 B9 Repress,,7
Alkaline Trio,For Your Lungs Only,Black,1998,,,7
Alkaline Trio,Hell Yes,Black,2001,,,7
Alkaline Trio,Private Eye,Picture Disc,2001,,,7
Alkaline Trio,Halloween,Orange,2003,2279/3000,,7
Alkaline Trio,We've Had Enough,Picture Disc,2003,,,7
Alkaline Trio,Mercy Me,Black,2005,1/2,,7
Alkaline Trio,Mercy Me,Red,2005,2/2,,7
Alkaline Trio,Burn,Black,2006,1/2,,7
Alkaline Trio,Burn,Red,2006,2/2,,7
Alkaline Trio,This Addiction,Black,2010,,,7
Ambitions,Exile,Blue Splatter,2007,,,7
American Nightmare,Demo,Black,1999,red labels,,7
American Nightmare,American Nightmare,Black,2000,Drummer cover,,7
